x, y
-0.492054, 0.870565
0.627161, -0.77889
0.298808, -0.954313
0.95171, -0.306997
-0.736904, -0.675997
0.589304, 0.807911
-0.970578, -0.240789
-0.242673, 0.970108
-0.968342, -0.249626
-0.709566, 0.704639
-0.520403, -0.853921
0.510203, 0.860054
0.409811, 0.912171
0.99855, 0.0538385
-0.893776, 0.448513
0.973972, 0.226669
0.256348, 0.966584
0.979084, 0.203456
-0.461584, 0.887096
0.27321, 0.961954
-0.996847, -0.0793515
-0.981546, 0.191228
-0.991871, -0.127247
-0.79675, -0.60431
0.945275, 0.326273
-0.90821, -0.418514
0.822674, -0.568514
0.976678, 0.214708
-0.264212, 0.964465
-0.829895, -0.55792
0.146157, 0.989261
0.48063, 0.876923
