igen, l2_best, l2_mean
0, 24.5373, 35.8568
1, 23.9883, 32.326
2, 21.6795, 28.6018
3, 21.366, 25.8517
4, 19.5789, 24.0842
5, 18.706, 22.4795
6, 18.1358, 21.736
7, 16.6099, 20.587
8, 16.3078, 19.6158
9, 15.7272, 18.6521
10, 15.4251, 18.014
11, 14.7293, 17.2175
12, 13.8716, 16.3645
13, 13.8716, 15.8422
14, 13.4276, 15.2994
15, 13.1475, 14.8858
16, 11.9885, 14.4557
17, 11.3008, 13.8199
18, 10.3757, 13.2231
19, 9.53214, 12.7239
20, 9.53214, 11.7009
21, 9.53214, 10.8328
22, 9.35779, 10.2223
23, 9.03014, 9.88747
24, 8.77048, 9.69117
25, 8.39375, 9.4851
26, 7.92074, 9.21244
27, 7.92074, 8.9058
28, 7.35878, 8.70028
29, 7.35878, 8.38767
30, 7.35878, 8.04944
31, 7.04047, 7.78216
32, 7.04047, 7.55439
33, 6.95644, 7.44326
34, 6.57226, 7.29449
35, 6.57226, 7.20384
36, 6.57226, 7.0654
37, 6.57226, 6.99279
38, 6.48662, 6.89468
39, 6.06042, 6.7893
40, 6.06042, 6.73843
41, 6.06042, 6.83743
42, 6.04623, 6.91148
43, 6.04623, 6.85255
44, 6.04623, 6.66167
45, 6.04547, 6.44389
46, 5.83445, 6.35249
47, 5.83445, 6.26595
48, 5.83445, 6.21823
49, 5.83445, 6.16394
50, 5.81951, 6.04109
51, 5.81951, 6.0041
52, 5.09522, 5.94973
53, 5.09522, 5.87682
54, 5.09522, 5.75986
55, 5.09522, 5.60709
56, 5.03637, 5.49023
57, 5.03637, 5.38183
58, 5.03637, 5.27001
59, 4.9505, 5.15133
60, 4.9505, 5.11546
61, 4.9505, 5.09371
62, 4.9505, 5.07437
63, 4.9505, 5.03681
64, 4.94282, 4.97649
65, 4.94282, 4.9819
66, 4.94282, 4.97466
67, 4.94282, 4.97064
68, 4.7912, 4.97634
69, 4.7912, 4.94038
70, 4.7912, 4.91747
71, 4.7912, 4.87648
72, 4.7305, 4.84608
73, 4.7305, 4.81549
74, 4.7305, 4.82748
75, 4.7305, 4.7772
76, 4.7305, 4.77379
77, 4.7305, 4.76339
78, 4.7305, 4.75131
79, 4.7305, 4.76383
80, 4.7305, 4.73426
81, 4.7305, 4.73831
82, 4.7305, 4.73171
83, 4.7305, 4.73253
84, 4.7305, 4.75797
85, 4.7305, 4.73937
86, 4.7305, 4.73489
87, 4.7305, 4.73076
88, 4.7305, 4.75739
89, 4.7305, 4.7488
90, 4.7305, 4.7305
91, 4.7305, 4.7305
92, 4.7305, 4.73899
93, 4.7305, 4.7305
94, 4.71238, 4.73936
95, 4.71238, 4.73716
96, 4.71238, 4.76175
97, 4.71238, 4.80257
98, 4.71238, 4.79884
99, 4.71238, 4.77196
100, 4.71238, 4.80204
101, 4.71238, 4.74814
102, 4.71238, 4.73634
103, 4.71238, 4.74262
104, 4.71238, 4.73562
105, 4.71238, 4.71759
106, 4.71238, 4.7129
107, 4.71238, 4.71245
108, 4.71238, 4.72469
109, 4.71238, 4.71973
110, 4.71238, 4.76925
111, 4.71238, 4.76278
112, 4.71238, 4.73588
113, 4.71238, 4.77326
114, 4.71238, 4.72563
115, 4.71238, 4.71315
116, 4.71238, 4.72472
117, 4.71238, 4.73052
118, 4.71238, 4.73595
119, 4.67691, 4.7852
120, 4.67691, 4.73369
121, 4.67691, 4.75395
122, 4.67691, 4.69449
123, 4.67691, 4.68684
124, 4.67691, 4.68174
125, 4.67691, 4.68542
126, 4.67691, 4.686
127, 4.67691, 4.69622
128, 4.67691, 4.73943
129, 4.67691, 4.736
130, 4.67691, 4.75138
131, 4.67691, 4.71659
132, 4.67691, 4.68639
133, 4.67691, 4.71941
134, 4.67691, 4.69504
135, 4.67691, 4.71606
136, 4.67691, 4.71763
137, 4.67691, 4.71475
138, 4.67691, 4.72089
139, 4.67691, 4.7192
140, 4.67691, 4.72383
141, 4.67691, 4.75069
142, 4.67691, 4.75766
143, 4.67691, 4.72323
144, 4.67691, 4.69658
145, 4.67691, 4.67888
146, 4.67691, 4.67868
147, 4.67691, 4.67998
148, 4.66462, 4.67939
149, 4.66462, 4.6846
150, 4.66462, 4.82107
151, 4.66462, 4.73648
152, 4.66462, 4.77402
153, 4.66462, 4.7369
154, 4.66462, 4.7428
155, 4.66462, 4.77236
156, 4.66462, 4.7203
157, 4.66462, 4.6833
158, 4.66462, 4.71712
159, 4.66462, 4.68658
160, 4.66462, 4.67259
161, 4.66462, 4.67479
162, 4.66462, 4.70536
163, 4.66462, 4.67879
164, 4.66462, 4.67501
165, 4.66462, 4.7175
166, 4.66462, 4.71025
167, 4.66462, 4.73117
168, 4.66462, 4.68603
169, 4.66462, 4.74271
170, 4.66462, 4.69821
171, 4.66462, 4.72398
172, 4.66462, 4.69635
173, 4.66462, 4.69901
174, 4.66462, 4.70206
175, 4.66462, 4.67224
176, 4.66462, 4.68494
177, 4.66462, 4.66524
178, 4.66462, 4.66518
179, 4.66462, 4.66745
180, 4.66462, 4.66792
181, 4.66462, 4.66462
182, 4.66462, 4.66946
183, 4.66462, 4.66917
184, 4.66462, 4.70555
185, 4.66462, 4.6721
186, 4.66462, 4.66931
187, 4.66462, 4.66674
188, 4.66462, 4.69939
189, 4.66462, 4.68593
190, 4.66462, 4.6782
191, 4.66462, 4.66877
192, 4.66462, 4.66462
193, 4.66462, 4.66462
194, 4.54183, 4.66413
195, 4.54183, 4.65725
196, 4.54183, 4.63791
197, 4.54183, 4.6446
198, 4.54183, 4.72669
199, 4.54183, 4.6351
200, 4.54183, 4.69464
201, 4.54183, 4.62892
202, 4.54183, 4.62019
203, 4.54183, 4.56157
204, 4.54183, 4.54801
205, 4.54183, 4.54931
206, 4.54183, 4.55565
207, 4.54183, 4.58937
208, 4.54183, 4.60192
209, 4.54183, 4.57958
210, 4.54183, 4.55252
211, 4.54183, 4.55889
212, 4.54183, 4.54183
213, 4.54183, 4.54183
214, 4.54183, 4.54208
215, 4.41628, 4.56889
216, 4.41628, 4.54562
217, 4.41628, 4.51557
218, 4.41628, 4.47515
219, 4.41628, 4.45635
220, 4.41628, 4.43179
221, 4.41628, 4.42723
222, 4.41628, 4.44265
223, 4.41628, 4.42915
224, 4.41628, 4.42377
225, 4.41628, 4.41669
226, 4.41628, 4.42022
227, 4.41628, 4.44901
228, 4.41628, 4.41692
229, 4.41628, 4.41905
230, 4.41628, 4.43857
231, 4.41628, 4.4823
232, 4.41628, 4.43343
233, 4.41628, 4.45481
234, 4.41628, 4.5288
235, 4.41628, 4.4641
236, 4.41628, 4.43517
